,name,location.lat,location.lon,minority_serving.historically_black,act_scores.midpoint.cumulative,sat_scores.average.overall,demographics.race_ethnicity.white,net_price_less_30000,net_price_30001_48000,net_price_48001_75000,net_price_75001_110000,net_price_above_110001,demographics.women,locale,admission_rate.overall,size,early_pay,ownership,percent_stem,rank_lac,Rank,Description,division
1102,Erskine College,34.330674,-82.39079699999999,0.0,21.0,993.0,0.6748,14450.0,17516.0,16725.0,22118.0,20250.0,0.4563,42.0,0.6428,618.0,43300.0,2,19.0,0,0.0,"Liberal Arts School, Private School, Religious",D2
1103,Francis Marion University,34.192277000000004,-79.65551500000001,0.0,20.0,927.0,0.4573,10373.0,10317.0,13345.0,15986.0,14786.0,0.6793,23.0,0.5887,3258.0,40500.0,1,16.0,0,0.0,State School,D2
1104,Furman University,34.920784999999995,-82.441473,0.0,22.0,1050.0,0.7804,19891.0,19807.0,23128.0,24104.0,34204.0,0.5657,21.0,0.6354,2710.0,48100.0,2,16.0,53,0.0,"Liberal Arts School, Private School, For Sports Fans",D1
1105,Lander University,34.201143,-82.166351,0.0,20.0,922.0,0.5764,10485.0,12196.0,14610.0,15103.0,16072.0,0.685,32.0,0.6197,2606.0,40900.0,1,7.0,0,0.0,State School,D2
1106,Limestone College,35.052919,-81.648033,0.0,19.0,902.0,0.4237,21415.0,21490.0,22771.0,23482.0,25456.0,0.5404,31.0,0.4632,2955.0,42700.0,2,11.0,0,0.0,Private School,D2
1107,Newberry College,34.286201,-81.601966,0.0,20.0,958.0,0.5916,20053.0,14939.0,18489.0,22699.0,33903.0,0.45899999999999996,32.0,0.5606,1048.0,40600.0,2,11.0,0,0.0,"Private School, Religious",D2
1108,North Greenville University,35.069758,-82.37026,0.0,25.0,1116.0,0.8038,21521.0,21602.0,22753.0,22983.0,23346.0,0.4706,41.0,0.5797,2278.0,34700.0,2,0.0,0,0.0,,D2
1109,Presbyterian College,34.465697,-81.874408,0.0,24.0,1082.0,0.7747,12646.0,15515.0,17055.0,24299.0,23052.0,0.5182,32.0,0.6231,963.0,46000.0,2,16.0,123,0.0,"Liberal Arts School, Private School, Religious, For Sports Fans",D1
1110,University of South Carolina-Aiken,33.572917,-81.767901,0.0,21.0,976.0,0.5768,10694.0,12276.0,14552.0,15828.0,16149.0,0.634,21.0,0.5716,3060.0,39100.0,1,11.0,0,0.0,State School,non_ncaa
1111,University of South Carolina-Beaufort,32.303308,-80.97359499999999,0.0,20.0,927.0,0.5717,11224.0,13100.0,15982.0,17183.0,17543.0,0.6515,31.0,0.6274,1917.0,34700.0,1,0.0,0,0.0,,non_ncaa
1112,University of South Carolina-Columbia,33.998973,-81.026971,0.0,28.0,1220.0,0.7684,11942.0,15328.0,18245.0,20337.0,21880.0,0.5359,12.0,0.6453,24941.0,46900.0,1,19.0,0,0.0,"Research University, For Sports Fans, State School",non_ncaa
1113,Coastal Carolina University,33.794722,-79.012635,0.0,22.0,1009.0,0.6848,12534.0,13880.0,16694.0,18460.0,18601.0,0.5289,13.0,0.5965,9289.0,41900.0,1,13.0,0,0.0,"For Sports Fans, State School",D1
1114,South Carolina State University,33.497439,-80.851185,1.0,16.0,760.0,0.0245,18477.0,19594.0,20455.0,21665.0,25620.0,0.5037,32.0,0.9489,2410.0,42000.0,1,13.0,0,0.0,"For Sports Fans, State School",D1
